['15', '28', '23', '151', '1', '32', '123', '0', '13', '28', '154', '1', '1', '25', '40', '277', '1', '0', '3', '18', '3', '8', '136', '269', '287', '392', '4', '2', '4', '1', '3', '1', '4', '29', '4', '25', '5', '12', '5', '13', '0', '0', '0', '0', '22', '37', '37', '23']
['17', '17', '29', '114', '1', '28', '89', '0', '16', '28', '179', '1', '0', '16', '35', '260', '0', '0', '3', '16', '1', '7', '163', '253', '277', '342', '0', '0', '2', '1', '0', '1', '7', '46', '9', '76', '2', '13', '6', '16', '1', '1', '0', '1', '30', '03', '29', '57']
['18', '20', '38', '111', '0', '20', '56', '0', '14', '22', '233', '1', '0', '24', '41', '232', '1', '2', '1', '7', '0', '0', '226', '232', '337', '288', '1', '0', '0', '0', '0', '2', '7', '71', '8', '65', '3', '12', '6', '13', '0', '0', '0', '0', '32', '44', '27', '16']
['21', '11', '21', '76', '1', '22', '80', '0', '31', '41', '315', '1', '2', '17', '28', '153', '1', '0', '4', '31', '0', '0', '284', '153', '360', '233', '1', '0', '0', '0', '2', '0', '3', '25', '5', '35', '4', '11', '2', '11', '1', '2', '0', '0', '34', '43', '25', '17']
['14', '18', '32', '140', '1', '32', '152', '1', '11', '19', '141', '0', '0', '12', '24', '168', '1', '1', '6', '36', '5', '30', '105', '138', '245', '290', '0', '0', '0', '0', '0', '1', '8', '78', '7', '50', '6', '15', '8', '14', '2', '4', '0', '0', '31', '02', '28', '58']
['26', '19', '42', '115', '2', '21', '75', '3', '22', '31', '265', '3', '0', '17', '28', '252', '0', '2', '3', '16', '4', '33', '249', '219', '364', '294', '1', '1', '2', '1', '1', '3', '11', '79', '8', '95', '5', '13', '5', '11', '0', '0', '0', '0', '41', '55', '18', '05']
['25', '16', '26', '83', '1', '20', '125', '0', '29', '36', '375', '3', '0', '17', '31', '194', '2', '3', '2', '15', '7', '41', '360', '153', '443', '278', '2', '1', '1', '0', '1', '3', '3', '25', '9', '74', '4', '11', '2', '12', '0', '0', '0', '2', '33', '31', '26', '29']
['19', '17', '28', '95', '0', '25', '177', '2', '24', '35', '287', '1', '0', '14', '27', '124', '1', '0', '4', '25', '4', '13', '262', '111', '357', '288', '0', '0', '1', '0', '0', '0', '7', '47', '3', '25', '7', '15', '5', '13', '0', '1', '0', '0', '34', '52', '25', '08']
['30', '21', '31', '134', '1', '29', '100', '3', '37', '50', '374', '2', '1', '16', '23', '220', '0', '1', '3', '13', '2', '15', '361', '205', '495', '305', '1', '1', '2', '1', '2', '2', '13', '102', '3', '15', '9', '16', '2', '9', '0', '0', '0', '0', '32', '04', '27', '56']
['28', '21', '24', '98', '0', '40', '355', '3', '33', '54', '356', '4', '3', '15', '24', '114', '1', '0', '2', '8', '2', '22', '348', '92', '446', '447', '1', '0', '3', '3', '3', '3', '8', '38', '9', '92', '8', '16', '5', '11', '3', '3', '0', '1', '34', '19', '30', '35']
['22', '19', '14', '39', '0', '26', '68', '1', '32', '46', '317', '0', '0', '18', '25', '220', '1', '0', '6', '29', '1', '6', '288', '214', '327', '282', '1', '1', '0', '0', '1', '0', '4', '39', '4', '40', '6', '14', '5', '10', '1', '2', '0', '0', '31', '07', '28', '53']
['19', '16', '24', '85', '1', '32', '116', '0', '23', '35', '182', '1', '1', '17', '27', '210', '1', '1', '4', '36', '2', '19', '146', '191', '231', '307', '0', '0', '0', '0', '1', '1', '5', '38', '2', '14', '6', '13', '5', '13', '0', '0', '0', '0', '27', '39', '32', '21']
['15', '18', '16', '33', '0', '38', '123', '0', '21', '50', '195', '2', '3', '21', '43', '190', '1', '1', '2', '17', '0', '0', '178', '190', '211', '313', '1', '0', '1', '0', '3', '1', '7', '56', '7', '69', '4', '15', '7', '21', '0', '2', '0', '0', '25', '02', '34', '58']
['18', '22', '22', '81', '1', '18', '57', '1', '30', '40', '322', '1', '0', '30', '47', '313', '1', '2', '0', '0', '5', '42', '322', '271', '403', '328', '1', '0', '3', '2', '0', '4', '6', '64', '3', '25', '7', '15', '7', '14', '0', '0', '1', '2', '32', '09', '27', '51']
['20', '36', '28', '119', '2', '29', '110', '1', '19', '26', '259', '2', '1', '35', '47', '396', '4', '1', '4', '21', '1', '13', '238', '383', '357', '493', '0', '0', '2', '1', '1', '2', '8', '74', '7', '54', '7', '12', '9', '13', '0', '0', '0', '0', '26', '54', '33', '06']
['22', '17', '26', '138', '2', '22', '64', '0', '22', '39', '243', '0', '2', '23', '39', '181', '2', '1', '4', '14', '2', '11', '229', '170', '367', '234', '2', '1', '0', '0', '3', '1', '7', '60', '5', '86', '5', '13', '5', '15', '2', '2', '1', '3', '31', '56', '28', '04']
['23', '6', '31', '121', '1', '14', '16', '0', '31', '40', '318', '1', '0', '12', '26', '147', '0', '1', '1', '8', '7', '54', '310', '93', '431', '109', '2', '1', '1', '0', '1', '1', '5', '40', '3', '30', '6', '13', '4', '14', '0', '1', '1', '1', '38', '38', '21', '22']
['8', '27', '22', '84', '0', '45', '209', '1', '10', '21', '166', '1', '1', '18', '31', '201', '1', '1', '3', '22', '1', '6', '144', '195', '228', '404', '0', '0', '2', '1', '1', '2', '6', '49', '5', '49', '3', '12', '9', '16', '0', '0', '0', '0', '21', '57', '38', '03']
['19', '23', '34', '128', '1', '20', '106', '1', '25', '32', '391', '3', '0', '24', '32', '290', '2', '1', '1', '5', '2', '9', '386', '281', '514', '387', '0', '0', '2', '2', '0', '3', '12', '149', '9', '76', '8', '17', '1', '6', '0', '0', '0', '0', '34', '47', '25', '13']
['15', '18', '13', '13', '0', '36', '140', '0', '32', '49', '329', '3', '2', '17', '34', '214', '2', '0', '2', '21', '1', '7', '308', '207', '321', '347', '1', '0', '1', '0', '2', '0', '7', '55', '4', '35', '4', '15', '5', '16', '0', '0', '0', '0', '26', '13', '33', '47']
['17', '25', '10', '1', '0', '40', '127', '1', '30', '44', '235', '1', '2', '19', '21', '261', '5', '0', '2', '7', '1', '11', '228', '250', '229', '377', '1', '1', '1', '1', '3', '1', '8', '55', '7', '67', '5', '13', '5', '10', '0', '1', '0', '0', '24', '31', '35', '29']
['23', '17', '34', '267', '3', '15', '29', '0', '21', '32', '339', '2', '0', '18', '45', '216', '0', '1', '1', '10', '4', '29', '329', '187', '596', '216', '1', '0', '1', '0', '0', '1', '11', '97', '1', '5', '5', '12', '3', '15', '0', '0', '1', '1', '33', '03', '26', '57']
['22', '20', '19', '85', '1', '37', '207', '1', '28', '44', '311', '2', '4', '17', '25', '146', '2', '1', '2', '11', '0', '0', '300', '146', '385', '353', '0', '0', '2', '1', '4', '2', '6', '72', '7', '45', '5', '12', '2', '11', '0', '0', '1', '1', '28', '22', '31', '38']
['16', '22', '29', '109', '1', '28', '129', '0', '14', '28', '177', '0', '1', '22', '36', '312', '2', '0', '4', '27', '1', '22', '150', '290', '259', '419', '1', '1', '2', '0', '2', '0', '7', '58', '8', '55', '3', '13', '4', '13', '1', '1', '0', '1', '30', '43', '29', '17']
['16', '9', '30', '64', '0', '24', '142', '0', '23', '35', '315', '3', '0', '13', '31', '79', '1', '0', '1', '1', '4', '29', '314', '50', '378', '192', '1', '0', '4', '1', '0', '1', '4', '20', '4', '20', '5', '16', '4', '16', '1', '3', '1', '3', '33', '26', '26', '34']
['23', '22', '32', '164', '1', '25', '76', '1', '23', '36', '292', '2', '1', '28', '53', '429', '1', '1', '4', '30', '0', '0', '262', '429', '426', '505', '0', '0', '1', '0', '1', '1', '5', '35', '8', '106', '7', '16', '7', '18', '0', '0', '0', '0', '25', '23', '34', '37']
['16', '14', '33', '104', '1', '25', '116', '0', '16', '23', '176', '1', '0', '18', '33', '170', '0', '0', '2', '12', '4', '26', '164', '144', '268', '260', '1', '1', '0', '0', '1', '0', '5', '44', '5', '55', '5', '11', '5', '15', '0', '0', '1', '3', '29', '03', '30', '57']
['12', '15', '21', '99', '0', '33', '121', '0', '23', '36', '172', '0', '0', '17', '25', '209', '1', '1', '2', '7', '3', '19', '165', '190', '264', '311', '0', '0', '0', '0', '0', '1', '8', '50', '4', '25', '4', '15', '8', '15', '2', '3', '0', '1', '31', '33', '28', '27']
['18', '23', '34', '104', '1', '20', '179', '2', '21', '27', '396', '3', '0', '23', '39', '259', '1', '0', '1', '6', '7', '51', '390', '208', '494', '387', '1', '1', '1', '1', '1', '1', '5', '40', '5', '40', '6', '14', '4', '13', '1', '2', '0', '1', '31', '16', '28', '44']
['21', '15', '25', '112', '1', '26', '111', '0', '20', '34', '291', '0', '2', '16', '27', '157', '0', '0', '7', '42', '4', '17', '249', '140', '361', '251', '1', '1', '1', '0', '3', '0', '10', '67', '7', '46', '2', '11', '2', '12', '1', '3', '0', '0', '31', '21', '28', '39']
['13', '24', '14', '121', '0', '39', '123', '1', '15', '34', '140', '1', '0', '25', '35', '250', '2', '1', '5', '28', '3', '15', '112', '235', '233', '358', '1', '0', '1', '1', '0', '2', '4', '25', '6', '55', '0', '11', '10', '18', '1', '2', '0', '0', '20', '12', '39', '48']
['20', '18', '23', '70', '2', '39', '183', '1', '24', '38', '281', '1', '3', '14', '23', '115', '1', '1', '2', '13', '3', '18', '268', '97', '338', '280', '1', '0', '0', '0', '3', '1', '2', '15', '4', '23', '7', '14', '9', '17', '1', '1', '0', '0', '27', '13', '32', '47']
['20', '20', '27', '174', '2', '24', '104', '1', '22', '34', '299', '2', '1', '27', '41', '336', '1', '2', '0', '0', '3', '27', '299', '309', '473', '413', '1', '0', '2', '2', '1', '4', '7', '48', '9', '101', '4', '12', '4', '12', '0', '0', '0', '2', '30', '24', '29', '36']
['23', '24', '23', '111', '0', '38', '152', '1', '20', '41', '217', '3', '0', '18', '23', '232', '2', '0', '2', '15', '1', '7', '202', '225', '313', '377', '2', '1', '2', '2', '1', '2', '10', '53', '5', '40', '4', '11', '8', '13', '1', '3', '0', '1', '25', '42', '34', '18']
['10', '25', '18', '67', '0', '34', '142', '3', '18', '36', '158', '1', '1', '23', '39', '312', '1', '0', '3', '26', '1', '3', '132', '309', '199', '451', '2', '1', '2', '1', '2', '1', '9', '86', '1', '16', '5', '15', '7', '15', '0', '1', '1', '1', '26', '59', '33', '01']
['17', '16', '35', '194', '1', '16', '63', '0', '10', '16', '114', '1', '0', '29', '47', '260', '0', '2', '1', '2', '6', '35', '112', '225', '306', '288', '0', '0', '1', '1', '0', '3', '5', '36', '6', '36', '4', '10', '7', '16', '0', '1', '1', '3', '31', '13', '28', '47']
['26', '18', '25', '98', '0', '33', '206', '0', '23', '40', '316', '2', '3', '15', '26', '204', '2', '0', '2', '17', '1', '15', '299', '189', '397', '395', '0', '0', '0', '0', '3', '0', '3', '21', '10', '78', '4', '10', '5', '12', '0', '0', '0', '0', '30', '36', '29', '24']
['15', '17', '19', '42', '0', '34', '132', '1', '26', '37', '243', '0', '2', '17', '25', '239', '0', '1', '4', '40', '3', '17', '203', '222', '245', '354', '2', '1', '3', '1', '3', '2', '6', '45', '2', '20', '3', '12', '7', '15', '0', '1', '0', '1', '28', '49', '31', '11']
['19', '18', '29', '116', '0', '18', '29', '0', '27', '38', '244', '2', '2', '24', '39', '317', '2', '2', '3', '23', '0', '0', '221', '317', '337', '346', '1', '1', '2', '1', '3', '3', '5', '45', '1', '10', '6', '14', '3', '11', '2', '3', '0', '1', '34', '58', '25', '02']
