['17', '23', '39', '178', '2', '33', '153', '1', '11', '19', '181', '1', '1', '13', '27', '158', '1', '3', '0', '0', '1', '1', '181', '157', '359', '310', '1', '0', '0', '0', '1', '3', '9', '56', '6', '40', '7', '14', '4', '11', '1', '1', '1', '1', '30', '27', '29', '33']
['21', '23', '28', '105', '0', '31', '119', '1', '21', '32', '255', '3', '2', '16', '27', '225', '1', '1', '2', '18', '3', '15', '237', '210', '342', '329', '0', '0', '2', '1', '2', '2', '10', '146', '4', '25', '7', '12', '5', '12', '0', '0', '0', '0', '29', '44', '30', '16']
['24', '21', '32', '110', '2', '19', '66', '1', '20', '25', '324', '3', '1', '27', '46', '264', '1', '2', '0', '0', '3', '14', '324', '250', '434', '316', '0', '0', '2', '1', '1', '3', '3', '35', '5', '35', '8', '12', '6', '15', '0', '0', '3', '3', '32', '19', '27', '41']
['5', '14', '14', '64', '1', '39', '90', '0', '16', '31', '84', '0', '1', '14', '21', '223', '5', '1', '6', '44', '3', '22', '40', '201', '104', '291', '4', '3', '0', '0', '4', '1', '11', '85', '5', '49', '3', '15', '7', '17', '0', '0', '0', '0', '23', '45', '36', '15']
['18', '19', '29', '141', '1', '22', '67', '0', '17', '31', '192', '1', '1', '23', '45', '245', '0', '3', '1', '6', '4', '28', '186', '217', '327', '284', '2', '0', '2', '1', '1', '4', '12', '64', '4', '20', '5', '13', '6', '16', '0', '1', '1', '2', '29', '29', '30', '31']
['13', '22', '18', '40', '0', '35', '159', '1', '16', '35', '123', '3', '0', '23', '35', '278', '2', '1', '0', '0', '4', '36', '123', '242', '163', '401', '2', '1', '1', '0', '1', '1', '7', '40', '5', '30', '5', '12', '8', '16', '0', '0', '0', '0', '21', '43', '38', '17']
['26', '22', '34', '133', '1', '10', '43', '2', '28', '34', '304', '3', '0', '25', '36', '272', '2', '2', '4', '28', '2', '16', '276', '256', '409', '299', '1', '0', '1', '0', '0', '2', '5', '77', '2', '28', '8', '13', '4', '8', '0', '0', '0', '1', '39', '42', '20', '18']
['15', '15', '25', '63', '1', '38', '143', '1', '12', '23', '157', '0', '1', '16', '29', '131', '0', '0', '2', '6', '1', '5', '151', '126', '214', '269', '2', '0', '0', '0', '1', '0', '2', '10', '7', '39', '2', '10', '9', '19', '1', '1', '1', '3', '23', '01', '36', '59']
['11', '29', '15', '86', '0', '32', '120', '1', '16', '26', '176', '0', '1', '35', '48', '368', '3', '0', '3', '15', '0', '0', '161', '368', '247', '488', '1', '0', '0', '0', '1', '0', '5', '51', '4', '35', '0', '8', '11', '17', '0', '3', '2', '2', '19', '20', '40', '40']
['22', '25', '28', '139', '1', '36', '158', '0', '20', '28', '251', '4', '0', '23', '34', '215', '3', '0', '2', '11', '1', '12', '240', '203', '379', '361', '2', '2', '3', '2', '2', '2', '5', '38', '11', '74', '6', '10', '6', '12', '1', '1', '0', '2', '27', '25', '32', '35']
